Date,Open,High,Low,Close,Volume,Adj Close,,SMA 3,SMA 5,SMA 10,SMA 25,EMA 3,EMA 5,EMA 10,EMA 25,AD,ADOSC,OBV,MACD,MACDDef,MOM3,MOM5,MOM10,ROC3,ROC5,ROC 10,RSI3,RSI5,RSI10,RSI14,STOCH,WILLR3,WILLR5,WILLR10,WILLR14,BBANDs,BBANDf,,% high,Output - Training,1 if %hi > 2
03-07-2009,1780,1810,1750,1800.9,111900,1726.54,,1801.333333,1792.719003,1811.836229,1930.604,1799.218363,1792.719003,1811.836229,1900.821505,5269865.591,74528.13126,7217800,-36.92821838,-81.7043744,77,43,-63,4.443162147,2.433503113,-3.363587827,65.5324737,51.62572194,39.64968663,37.25823337,76.73856768,-19.46236559,-12.14765101,76844.67714,-57.46153846,1853.508064,1876.427067,,0.840336134,0,
02-07-2009,1785,1800,1765,1795.9,76300,1721.75,,1809.666667,1795.146002,1809.684187,1918.604,1799.609182,1795.146002,1809.684187,1893.066005,5328289.591,77072.38478,7141500,-30.75152174,-77.58631104,25,88,-20,1.408450704,5.140186916,-1.098901099,55.54712154,47.67888191,38.27663284,36.34107704,79.38451461,-33.47826087,-17.63358779,52359.22671,-58.74358974,1849.246261,1856.992263,,2.031742458,1,
01-07-2009,1776.8,1812.9,1771.05,1796.7,99200,1722.52,,1807.633333,1801.064001,1810.26888,1906.92,1806.254591,1801.064001,1810.26888,1886.899389,5350689.591,78233.90807,7240700,-23.87184944,-72.4466738,-6.1,79.9,-6.1,-0.335349093,4.61050202,-0.335349093,65.66923632,53.42101354,41.19544381,38.44607302,82.08008886,-25.75516693,-23.97849462,68457.64499,-54.95821727,1834.302975,1831.986977,,0.781490715,0,
30-06-2009,1785.05,1799,1760,1776.9,115300,1703.54,,1803.966667,1800.376001,1808.219993,1894.88,1802.627295,1800.376001,1808.219993,1880.137898,5335316.257,66705.38807,7125400,-20.67115826,-68.70312128,-11,24,-15.4,-0.607734807,1.352112676,-0.848765432,48.00264131,46.54130849,38.98809505,37.02537674,65.79114161,-68.05293006,-61.01449275,79775.74692,-40.37815126,1823.512267,1815.708268,,0.538402373,0,
29-06-2009,1820.2,1830,1772.55,1783.75,136200,1710.1,,1813.966667,1810.250667,1812.179994,1884.68,1816.313648,1810.250667,1812.179994,1876.281136,5252221.218,29485.71851,7261600,-13.43925924,-62.51426251,30,11,55.55,1.666666667,0.604727872,3.130547494,72.63256706,60.66369672,46.13957509,42.15892001,52.39817087,-66.07142857,-57.8125,87680.26101,-23.71794872,1832.806556,1832.677223,,3.881355932,1,
26-06-2009,1770,1838.7,1752.35,1826.75,216800,1751.33,,1822.566667,1819.733778,1817.001814,1875.15,1827.506824,1819.733778,1817.001814,1873.39028,5409015.196,61467.96319,7478400,-7.220167628,-56.25901119,25.8,28.7,71.7,1.423134205,1.585635359,4.057724958,77.18244498,63.99996043,48.03879649,43.54970535,55.77799334,-13.83902721,-13.83902721,132733.1275,-5.866470299,1847.942357,1851.556135,,0.994382022,0,
25-06-2009,1780,1797.7,1746.05,1757.75,97400,1685.18,,1822.133333,1812.389185,1813.492393,1866.31,1812.603412,1812.389185,1813.492393,1867.56795,5355742.205,52013.11486,7381000,-8.975002656,-53.9877002,-1.3,-2.3,85.7,-0.072262368,-0.127777778,5.005841121,35.48248792,42.67739854,40.55135726,38.81325427,46.99221444,-87.37182947,-87.37182947,71850.6015,-39.73981345,1848.452828,1845.182014,,1.302038719,0,
24-06-2009,1751.1,1773.9,1722.2,1759.15,109400,1686.52,,1803.433333,1799.559457,1806.293776,1857.358,1793.251706,1799.559457,1806.293776,1860.362723,5402718.607,58363.79448,7271600,-13.08306481,-53.4915141,-56.1,-39,40.9,-3.06557377,-2.151249379,2.360069244,24.13057402,34.36880947,36.84714685,36.34233559,43.50196051,-68.2832618,-68.2832618,108101.809,-39.05252823,1854.987843,1846.6873,,4.178928782,1,
23-06-2009,1699,1770,1699,1746.05,178100,1673.96,,1780.533333,1789.706305,1799.694908,1846.438,1781.625853,1789.706305,1799.694908,1853.411745,5460663.819,74093.11295,7093500,-15.62134511,-52.80428551,-68.7,-29,-5,-3.736335454,-1.61200667,-0.281690141,22.3713313,33.05082787,36.24434354,35.93858635,26.00807385,-52.33029382,-66.32068719,190244.2526,-45.48355425,1858.366106,1846.012411,,0.845070423,0,
22-06-2009,1775,1790,1749.15,1765.75,99700,1692.85,,1777.966667,1789.804203,1797.932197,1836.282,1785.812926,1789.804203,1797.932197,1848.533918,5441992.949,67851.36555,7193200,-13.6806455,-50.06865872,-7.7,-40,-29,-0.428325082,-2.18579235,-1.594282573,50.26381663,46.2610333,41.68068881,39.64185196,37.72567007,-26.64835165,-52.2190408,105624.7167,-43.24244221,1843.113212,1838.857415,,3.47826087,1,
